Codice;Descrizione;PrezzoLordo;CostoTrasporto;CostoInstallazione
DEMO-001;Sollevatore 2 colonne 3.2t, base, 230V;2890;180;350
DEMO-002;Sollevatore 2 colonne 4.0t, top, 400V;3790;220;420
DEMO-003;Sollevatore a forbice incassato 3.0t, piano corto;4980;260;650
DEMO-004;Sollevatore a forbice 3.5t, piano lungo, rialzo 1.9m;5690;290;720
DEMO-005;Ponte 4 colonne 5.5t, geometria, con piastre;7990;420;980
DEMO-006;Colonne mobili wireless 4x 8.5t (set), ricarica rapida;14900;650;1350
DEMO-007;Smontagomme automatico 12–24, braccio helper;2590;120;180
DEMO-008;Smontagomme per runflat 12–24, doppio helper;3490;140;220
DEMO-009;Equilibratrice ruote touch, 10–24, laser;2390;110;160
DEMO-010;Equilibratrice premium, 10–30, clamp pneumatico;3290;120;190
DEMO-011;Assetto ruote 3D, 2 telecamere, database base;8990;280;650
DEMO-012;Assetto ruote 3D, 4 telecamere, target universali;11900;320;750
DEMO-013;Compressore a vite 7.5 kW, 500 l/min, essiccatore;5690;210;380
DEMO-014;Compressore pistoni 3 HP, 270 l, silenziato;1290;90;120
DEMO-015;Avviatore batteria professionale 12/24V, 3000A;790;35;0
DEMO-016;Caricabatterie intelligente 12/24V, 30A, AGM/Li;390;25;0
DEMO-017;"Diagnosi OBD avanzata, tablet 10"", licenza 1 anno";1590;30;0
DEMO-018;Lavapezzi a ricircolo 80 l, con cestello;890;55;90
DEMO-019;Pressa idraulica 30t, manometro, corsa lunga;1290;70;150
DEMO-020;Kit attrezzatura officina (carrello + utensili 200 pz);1190;60;0
